head,result_0,result_1
HP0A2 001294,0.9999945163726807,5.489300292538246e-06
HR0A1 001035,0.9998370409011841,0.00016295658133458346
HL0A1 004308,0.9996646642684937,0.000335392018314451
HR0A1 003616,0.9994194507598877,0.0005805518594570458
HK0A2 004429,0.9999433755874634,5.6596290960442275e-05
HL0A1 003160,0.999733030796051,0.0002669653913471848
HK0A2 004133,0.23595355451107025,0.7640464305877686
HK0A2 004132,0.9999692440032959,3.071619357797317e-05
HL0A1 004401,0.9999836683273315,1.634933505556546e-05
HL0A1 003478,0.9923198819160461,0.007680125068873167
HL0A1 005580,0.9999265670776367,7.339076546486467e-05
HR0A1 008877,0.9015456438064575,0.09845440089702606
HR0A1 003619,0.9997583031654358,0.00024168886011466384
HR0A1 003621,0.9696758985519409,0.03032415360212326
HL0A1 003494,0.999927282333374,7.272842049133033e-05
HL0A1 003885,0.6515214443206787,0.3484785556793213
HR0A1 001255,0.9999895095825195,1.0539066352066584e-05
HP0A2 001295,0.9999958276748657,4.218647063680692e-06
HR0A1 001016,0.9058157801628113,0.09418419003486633
HR0A1 008880,0.9999918937683105,8.132245056913234e-06
HS0A4 002961,0.9999841451644897,1.585004611115437e-05
HL0A1 004407,0.9998351335525513,0.00016481443890370429
HR0A1 008876,0.9999912977218628,8.672530384501442e-06
HR0A1 003618,0.9999921321868896,7.852541784814093e-06
HS0A4 003207,0.9999958276748657,4.145147613598965e-06
HR0A1 003634,0.9999810457229614,1.891387000796385e-05
HZ0C1 018550,0.851936936378479,0.148063063621521
HR0A1 008878,0.9999868869781494,1.3157137800590135e-05
HS0A5 004995,0.9999606609344482,3.928837031708099e-05
HL0A1 004257,0.9999434947967529,5.6521374062867835e-05
HL0A1 003733,0.9998173117637634,0.00018267759878654033
HR0A1 003736,0.9998242259025574,0.00017574556113686413
HZ0C1 018544,0.6490496397018433,0.3509503901004791
HR0A1 006412,0.9998797178268433,0.00012029466597596183
HL0A1 003766,0.02586229145526886,0.9741377234458923
HZ0C1 000879,0.9187461733818054,0.08125390112400055
HR0A1 004314,0.9984046816825867,0.0015953081892803311
HR0A1 001013,0.46725568175315857,0.532744288444519
HZ0C1 002286,0.525768518447876,0.474231481552124
HL0A1 004884,0.9997963309288025,0.00020372842845972627
HE2C2 001984,0.445463091135025,0.5545368790626526
HS0A4 001203,0.999994158744812,5.877436706214212e-06
HR0A1 007663,0.9983286261558533,0.0016713764052838087
HK0A2 004088,0.888069748878479,0.1119302436709404
HS0A4 003208,0.9999957084655762,4.249909579812083e-06
HR0A1 008873,0.999916672706604,8.333782898262143e-05
HR0A1 003639,0.9999892711639404,1.0721408216340933e-05
HR0A1 001033,0.9999963045120239,3.636130941231386e-06
HR0A1 001258,0.999901294708252,9.868590132100508e-05
HK0A2 004061,0.999154806137085,0.0008451756439171731
HZ0C1 000878,0.32477816939353943,0.675221860408783
HZ0C1 000882,0.4256513714790344,0.5743486881256104
HP0A2 000677,0.9997137188911438,0.0002862432156689465
HZ0C1 000948,0.9999598264694214,4.013221405330114e-05
HZ0C1 000877,0.12582263350486755,0.8741773962974548
HZ0C1 002514,0.1550227403640747,0.8449772596359253
HR0A1 001034,0.9999908208847046,9.126033546635881e-06
HF0B1 000325,0.9998799562454224,0.00012000616698060185
HR0A1 001014,0.9999345541000366,6.549654790433124e-05
HZ0C1 016513,0.9060822129249573,0.09391773492097855
HL0A1 003886,0.6852404475212097,0.3147595226764679
HS0A4 001775,0.9999954700469971,4.544990588328801e-06
HZ0C1 000875,0.9999881982803345,1.182470987259876e-05
HZ0C1 002384,0.9978552460670471,0.002144688507542014
HR0A1 002152,0.999997615814209,2.4314415441040182e-06
HR0A1 001015,0.9999898672103882,1.0090401701745577e-05
HE2C2 001983,0.12692108750343323,0.8730789422988892
HZ0C1 001080,0.9491164088249207,0.05088352411985397
HF0B1 000309,0.9999223947525024,7.761192682664841e-05
HE2C2 002512,0.9999841451644897,1.5911382433841936e-05
HL0A1 005087,0.9988804459571838,0.001119557418860495
HZ0C1 002300,0.016314396634697914,0.9836855530738831
HL0A1 005591,0.9999359846115112,6.405414023902267e-05
HR0A1 008875,0.00014521712728310376,0.9998548030853271
HR0A1 007770,0.9999862909317017,1.3726731594942976e-05
HR0A1 001032,0.9999773502349854,2.2687449018121697e-05
HR0A1 008860,0.9999929666519165,6.997495347604854e-06
HS0A4 003197,0.9999963045120239,3.7185841392783914e-06
HK0A2 004592,0.9998838901519775,0.00011606357293203473
HZ0C1 002517,0.9999327659606934,6.723340629832819e-05
HS0A4 002939,0.999994158744812,5.792951924377121e-06
HZ0C1 000876,1.0,0.0
HR0A1 006411,1.0,0.0
HS0A5 003992,1.0,0.0
HS0A4 003435,1.0,0.0
HS0A4 003433,1.0,0.0
HS0A4 002295,1.0,0.0
HS0A4 003020,1.0,0.0
HP0A2 000580,1.0,0.0
